day_idx,date,quarter,rev_single_rt,rev_single_da,rev_shandong_twosettle,oracle_rt,capture_single_rt,rt_mean,da_mean,da_rt_spread_mean
1713,2025-07-11,3,75056.22967196585,71222.15240240644,71222.15240240644,100029.2574255929,75.03427657432795,350.2552083333333,344.3635416666666,-5.891666666666665
1714,2025-07-12,3,96364.04882368294,83040.90582827448,83040.90582827448,114884.41472513968,83.8791310851288,337.71562500000005,381.35312500000003,43.637499999999996
1715,2025-07-13,3,106996.27468086961,67558.6462752493,67558.6462752493,121701.04633709828,87.9173005501546,335.54062500000003,383.15625,47.615625
1716,2025-07-14,3,99909.44049374721,97752.78841713713,97752.78841713713,124073.9096488,80.5241333786837,226.89374999999995,272.46875000000006,45.57500000000001
1717,2025-07-15,3,-8560.468079052396,12969.119173944335,12969.119173944335,86378.73408593865,-9.910388441830536,316.5229166666667,320.8385416666667,4.315625000000002
1718,2025-07-16,3,82182.40617940023,77638.9905765068,77638.9905765068,106355.45064440541,77.27145687546691,294.4145833333333,313.69270833333337,19.278125
1719,2025-07-17,3,112387.33494140719,105996.09546012332,105996.09546012332,135061.06077598818,83.21224066780613,263.471875,280.4479166666667,16.976041666666664
1720,2025-07-18,3,115662.71959789291,113442.5462874428,113442.5462874428,131836.49901680194,87.73194104855003,334.1479166666666,296.70416666666665,-37.44375000000001
1721,2025-07-19,3,102293.9606846706,79038.37849783494,79038.37849783494,120025.22584057234,85.22705120384117,300.696875,315.3802083333333,14.683333333333332
1722,2025-07-20,3,59888.604301590596,54862.16655930537,54862.16655930537,100786.55012391694,59.421226570368404,314.6145833333333,352.2541666666666,37.63958333333333
1723,2025-07-21,3,-34103.88595344155,-17730.325365034267,-17730.325365034267,49052.57552476019,-69.52516883894707,259.471875,372.7010416666667,113.22916666666667
1724,2025-07-22,3,-252.0354317276273,-41760.05614428165,-41760.05614428165,0.0,0.0,0.0,27.60625,27.60625
1725,2025-07-23,3,34225.20220347529,-816.1194710867503,-816.1194710867503,59080.23467123431,57.93003767491679,347.6927083333333,0.0,-347.6927083333333
1726,2025-07-24,3,13843.421822854436,285.5737237451217,285.5737237451217,42481.89406739749,32.586639853891306,132.85208333333333,306.125,173.27291666666665
1727,2025-07-25,3,13630.007591032992,5406.697153837884,5406.697153837884,51960.186114419725,26.231637355991804,141.75,311.23020833333334,169.48020833333334
1728,2025-07-26,3,31988.217135475912,10915.842653853693,10915.842653853693,50847.72371012443,62.909831161442234,164.203125,335.4770833333333,171.27395833333333
1729,2025-07-27,3,32285.521354889846,26278.532736590067,26278.532736590067,51010.704760893845,63.29165908650762,143.05729166666666,288.39583333333337,145.33854166666666
1730,2025-07-28,3,11943.179065160743,-2994.545875728893,-2994.545875728893,43631.7069278,27.372706469916103,181.9572916666667,360.2749999999999,178.31770833333334
1731,2025-07-29,3,9711.690495328341,-31215.951203461576,-31215.951203461576,36613.6252099,26.524799004886262,167.2864583333333,371.03437499999995,203.7479166666667
1732,2025-07-30,3,53546.86282745968,43517.21107213134,43517.21107213134,84927.37633036064,63.05017903669449,343.1604166666666,362.1416666666667,18.981250000000003
1733,2025-07-31,3,132685.01322642458,80139.4436717919,80139.4436717919,168121.88646009273,78.92191553413252,376.0645833333333,348.7145833333332,-27.349999999999998
1734,2025-08-01,3,56434.331194056074,26514.91514971856,26514.91514971856,79014.97162540318,71.42232672258852,364.8125,437.5510416666666,72.73854166666666
1735,2025-08-02,3,77631.69959055023,74863.65117209339,74863.65117209339,91018.99337338126,85.29175803130099,331.66249999999997,392.95208333333335,61.28958333333333
1736,2025-08-03,3,114267.8808234289,93762.37433031411,93762.37433031411,128315.61465291452,89.05220236252319,361.3177083333333,372.9395833333333,11.621874999999998
1737,2025-08-04,3,29251.072879911444,74685.97673421523,74685.97673421523,63051.65821706736,46.39223409352542,389.5333333333333,423.38333333333327,33.85
1738,2025-08-05,3,39378.07818572151,64342.35901652367,64342.35901652367,66792.8307114367,58.955546225979816,413.44583333333327,526.1041666666666,112.65833333333332
1739,2025-08-06,3,58591.387866957935,102428.83179968482,102428.83179968482,76676.11362953516,76.41413354626374,387.121875,439.1854166666667,52.06354166666666
1740,2025-08-07,3,66561.38620880467,104888.95176824811,104888.95176824811,76642.82513451038,86.84620653268915,355.94687500000003,429.84374999999994,73.896875
1741,2025-08-08,3,26308.86838972805,34724.610324548325,34724.610324548325,50003.25341990091,52.61431325038007,383.1020833333334,412.2520833333333,29.149999999999995
1742,2025-08-09,3,43430.063339764936,30611.417236463578,30611.417236463578,64101.06235449562,67.75248606580861,297.45000000000005,357.01875,59.568749999999994
1743,2025-08-10,3,117278.02603951405,121491.44780128387,121491.44780128387,131770.90176045,89.00145970975977,264.5052083333333,260.7625,-3.742708333333328
1744,2025-08-11,3,99252.22722105935,113733.3956440624,113733.3956440624,112040.14519507746,88.58630721001605,307.6885416666667,294.00625,-13.682291666666671
1745,2025-08-12,3,100758.64352862339,99180.71866855802,99180.71866855802,120389.57488684141,83.69382782797443,329.0208333333333,310.603125,-18.417708333333334
1746,2025-08-13,3,76858.31707736482,73718.28570518288,73718.28570518288,92989.20637233829,82.65294443918174,376.9906250000001,321.82916666666665,-55.16145833333335
1747,2025-08-14,3,44480.016164727516,40321.268255960786,40321.268255960786,64342.71886766101,69.1298362075952,330.71145833333327,369.0604166666667,38.34895833333333
1748,2025-08-15,3,82426.65558869188,11519.87955995467,11519.87955995467,115950.83437908717,71.08759159007683,360.88958333333335,341.2833333333333,-19.60625000000001
1749,2025-08-16,3,81874.82917114261,55581.79790149784,55581.79790149784,108707.73723228033,75.31646896135578,330.55625000000003,372.1145833333333,41.55833333333333
1750,2025-08-17,3,64889.57915333509,51627.19592988931,51627.19592988931,85316.35364368082,76.05760956960602,345.4781249999999,383.3125,37.834374999999994
1751,2025-08-18,3,31158.754061844622,50723.99395975756,50723.99395975756,59825.96755171341,52.082323674767274,408.79583333333335,402.2708333333333,-6.5249999999999995
1752,2025-08-19,3,68082.12621549489,56299.367724530406,56299.367724530406,89695.98825095393,75.90320096035157,342.65520833333335,399.4583333333333,56.803125
1753,2025-08-20,3,38755.92692568146,55330.89600072204,55330.89600072204,61027.408299652154,63.50577225135474,436.34479166666665,453.6114583333333,17.266666666666673
1754,2025-08-21,3,35372.074401156315,63738.05125360914,63738.05125360914,56981.188378191204,62.07675797561026,439.98854166666666,493.2281250000001,53.239583333333336
1755,2025-08-22,3,45280.933862299986,66589.25978086857,66589.25978086857,84737.22876523963,53.43688308210859,515.5739583333333,600.709375,85.13541666666667
1756,2025-08-23,3,46595.763357593554,88187.24674853378,88187.24674853378,65456.382937767485,71.18597341667103,478.5708333333332,514.65625,36.08541666666667
1757,2025-08-24,3,50830.23015115316,53420.38218297671,53420.38218297671,63136.87626689152,80.50799018989181,388.95624999999995,382.8833333333334,-6.072916666666672
1758,2025-08-25,3,45059.886185774216,35351.47249162327,35351.47249162327,65226.656182912084,69.0820115926453,342.1114583333333,374.77500000000003,32.66354166666667
1759,2025-08-26,3,97209.72689460736,63518.65024590598,63518.65024590598,127499.89789356232,76.24298411262936,295.35312500000003,322.303125,26.950000000000003
1760,2025-08-27,3,30057.503491298612,41617.4471351618,41617.4471351618,70638.71392858648,42.55103443939509,293.5864583333334,335.72499999999997,42.13854166666667
1761,2025-08-28,3,54351.86832349004,44170.74902622219,44170.74902622219,71026.36406245208,76.52351213656314,367.8385416666667,399.7291666666667,31.890625
1762,2025-08-29,3,45093.586599444505,42806.5503497291,42806.5503497291,65417.94908504268,68.9315199117956,364.04479166666664,369.5874999999999,5.542708333333333
1763,2025-08-30,3,9175.947498807836,17540.672581519968,17540.672581519968,46443.98067294192,19.757022042156063,343.4833333333333,339.2270833333333,-4.256249999999997
1764,2025-08-31,3,34688.70896073785,38156.80285645303,38156.80285645303,65509.431826330765,52.95223602717177,284.1645833333333,341.8729166666667,57.708333333333336
1765,2025-09-01,3,113913.03109873408,93982.06887734057,93982.06887734057,125205.25030930001,90.98103379637014,241.81875000000002,292.95104166666664,51.13229166666667
1766,2025-09-02,3,84521.65891582271,92180.73035868663,92180.73035868663,106551.443640877,79.32474307968658,332.68750000000006,276.73229166666664,-55.95520833333333
1767,2025-09-03,3,5546.946137135025,26700.043117569297,26700.043117569297,54702.50539096658,10.140204909245405,371.8802083333333,334.61875,-37.26145833333333
1768,2025-09-04,3,53821.93180515336,49542.03166790344,49542.03166790344,74503.559588226,72.24075212328378,363.1197916666667,329.57708333333335,-33.54270833333334
1769,2025-09-05,3,52889.1460077116,29118.012779308516,29118.012779308516,87966.52035147045,60.12417655761861,414.1677083333334,371.60729166666664,-42.560416666666676
1770,2025-09-06,3,53059.39161225782,21309.844199611045,21309.844199611045,76068.84021175292,69.75180831541053,265.815625,326.64270833333336,60.82708333333333
1771,2025-09-07,3,108608.59442163275,109829.91333087593,109829.91333087593,121954.17415515428,89.0568897489783,252.80520833333333,262.6854166666667,9.880208333333327
1772,2025-09-08,3,9359.999958990195,5483.714363554329,5483.714363554329,132103.5370392102,7.085351511982616,398.059375,356.6177083333334,-41.44166666666666
