checkpoint,day,date,naive_rev,daily_rev,naive_da,naive_rt,daily_da,daily_rt,daily_segments,compliant,da_mean,rt_mean,forecast_total_mwh,actual_total_mwh
270,273,2023-01-29,195167.51718254611,209107.65827601688,372049.4905851165,-176881.97340257038,209228.533022477,-120.8747464601056,3,True,470.52661458333336,494.6997916666666,825.8571666050632,487.43946111089116
270,274,2023-01-30,207307.882969423,151819.3785567607,323319.5107072883,-116011.62773786529,176694.22054220748,-24874.841985446776,3,True,441.63781249999994,396.84390625,788.2835585495272,565.699261739489
270,275,2023-01-31,248137.69285323264,253611.81346227712,317025.8710344603,-68888.17818122767,291111.10102858354,-37499.287566306404,4,True,409.91729166666664,388.55552083333333,799.8139392380294,636.6905010345768
270,276,2023-02-01,163937.53880024643,176006.80502557976,345530.4910139593,-181592.95221371285,327410.76968417456,-151403.9646585948,3,True,486.5394791666667,446.73864583333335,750.1252522045347,350.38848678609594
270,277,2023-02-02,117405.18871750872,150022.74202096392,252197.06596779524,-134791.87725028652,195283.40118232148,-45260.65916135757,3,True,443.65088541666665,549.0302604166667,645.9160225876202,401.97329021366886
270,278,2023-02-03,155154.1662706665,198011.36956655997,163172.88353653596,-8018.717265869457,146156.74764005866,51854.62192650132,3,True,378.6713541666666,462.97749999999996,563.4985691737168,593.5525916316508
270,279,2023-02-04,265365.8964854929,259101.6688235256,180321.79185569595,85044.10462979692,86293.30532898102,172808.36349454458,3,True,369.3176041666666,358.1663541666667,533.4416312519047,800.3284381168935
270,280,2023-02-05,269238.3771941729,251359.534806416,249389.98537028083,19848.391823892067,179706.2583369184,71653.27646949759,3,True,536.8224479166666,439.0953645833333,534.6497347741904,605.333907161915
270,281,2023-02-06,160091.57089499262,182710.4878664876,232378.78492487213,-72287.21402987951,136011.5935705101,46698.89429597747,3,True,423.10395833333337,509.87802083333344,568.9875831226789,449.0397762063726
270,282,2023-02-07,240138.3788139104,256522.41734103227,206321.2664060291,33817.112407881286,104105.10038299425,152417.31695803802,3,True,410.0684895833333,469.09307291666664,521.000018745114,641.315999482066
270,283,2023-02-08,186800.1357301792,186489.66696586082,217830.82531239983,-31030.689582220635,130069.66990132452,56419.99706453628,3,True,414.07067708333335,405.8219270833333,557.6593581638717,548.0084122206022
270,284,2023-02-09,191395.32708485812,204202.10065489664,238449.90420706102,-47054.5771222029,221279.53668966662,-17077.43603477,3,True,446.148125,513.09875,594.3819690999057,512.9032239674198
270,285,2023-02-10,201536.67077443347,251738.2056607069,232651.9443864283,-31115.273611994828,162635.9335306887,89102.27213001822,3,True,441.47864583333336,535.7430729166666,602.5260550364728,530.1405474242227
270,286,2023-02-11,180630.5607269884,253332.15240775453,215641.64370964852,-35011.082982660126,94024.21733977395,159307.93506798058,3,True,395.9261979166667,528.9720833333334,587.6121782080885,534.4135713408193
270,287,2023-02-12,254949.3938280869,312646.51835694956,130625.90792964288,124323.48589844402,9625.25,303021.26835694956,3,True,297.93114583333335,338.56109375,563.2875911078579,943.3466873386076
270,288,2023-02-13,140047.07054766663,165300.0297056994,282901.1249205675,-142854.05437290086,227703.66799260784,-62403.63828690845,3,True,492.2280729166667,587.8921354166666,585.5420855324253,366.1353409266273
270,289,2023-02-14,196985.5977118701,172857.13653393913,259590.04694237167,-62604.44923050157,171452.4392601243,1404.697273814847,3,True,454.7979166666667,453.48828125,589.3934856977262,507.4088814408125
270,290,2023-02-15,172704.67080575827,172704.67080575827,278167.8395708532,-105463.16876509493,278167.8395708532,-105463.16876509493,3,True,521.0573958333333,534.5461458333333,556.0980449927661,426.5418809670023
270,291,2023-02-16,121978.09138518368,134496.84788538236,230658.78003226843,-108680.68864708475,201014.38209002596,-66517.5342046436,3,True,471.7367708333333,530.7203645833333,548.5427711565105,362.9342661056969
270,292,2023-02-17,199956.4428235617,209048.04717735908,185945.83360509743,14010.609218464275,115890.9319072128,93157.11527014629,3,True,385.3993229166667,420.4592708333333,525.3852064689688,723.7605215281735
270,293,2023-02-18,252231.97821187205,259744.38236868015,126109.42816048168,126122.55005139037,0.0,259744.38236868015,3,True,288.75984375,303.4203645833333,542.8425610747609,1040.001906521234
270,294,2023-02-19,253809.7590185947,265690.75679388765,202940.5755022374,50869.1835163573,84306.86418289035,181383.89261099728,3,True,341.22401041666666,380.2979166666667,630.8201941817241,916.1629988631645
270,295,2023-02-20,222425.98488895645,222425.98488895645,297561.0670930014,-75135.08220404494,297561.0670930014,-75135.08220404494,3,True,502.73755208333324,533.4423958333333,632.1673073271198,520.6689053486225
270,296,2023-02-21,131951.8415457675,137917.41225819525,271064.16112127865,-139112.31957551115,175490.35602961516,-37572.9437714199,3,True,474.97734375,518.5043229166666,648.6295093043443,392.6295321054846
270,297,2023-02-22,167217.35972004442,156926.19421997154,303739.8897180716,-136522.5299980272,185084.38513980183,-28158.19091983028,3,True,515.9073958333333,536.3530208333333,626.3946479985478,384.3229229937907
270,298,2023-02-23,260379.7950373477,260379.7950373477,295780.93031845207,-35401.13528110436,295780.93031845207,-35401.13528110436,3,True,513.0705729166667,402.64453125,627.6240486147476,645.361582454568
270,299,2023-02-24,209021.85262599992,209021.85262599992,296876.4911784772,-87854.63855247726,296876.4911784772,-87854.63855247726,3,True,503.43854166666665,469.18484375,641.5105914580242,461.1130800795456
300,300,2023-02-25,257605.39060451425,259008.6804793421,158347.08051240596,99258.3100921083,28068.0,230940.6804793421,3,True,298.97875,340.95098958333335,615.9772305687195,948.6302834566084
300,301,2023-02-26,235354.7883378167,266783.5284795419,211231.4574239464,24123.330913870268,125807.22679749194,140976.30168204993,3,True,397.8065104166667,426.789375,626.3172028236764,721.0044078872141
300,302,2023-02-27,258107.83282891015,264064.9255027881,200922.3056721795,57185.52715673065,106043.62234651149,158021.3031562766,3,True,389.61359375,401.5917708333333,591.0796345976376,735.9735181573385
300,303,2023-02-28,223614.30958275945,248400.54523742816,283722.7014184467,-60108.391835687275,185860.91821805842,62539.62701936973,3,True,487.2447916666667,533.1021875,609.9036312957653,513.0812626531679
300,304,2023-03-01,230118.56979701156,238514.70769791596,299353.95369423396,-69235.3838972224,160386.2050677896,78128.50263012637,3,True,502.58546875,542.4070833333334,657.3666790116388,545.5447014203717
300,305,2023-03-02,230529.74716927262,245684.62133384286,250035.3485609613,-19505.60139168868,143937.08598934897,101747.53534449391,3,True,439.0425520833333,501.9944270833333,660.5904562039038,681.7695157813341
300,306,2023-03-03,193154.1047304582,183848.2127363835,268174.93452375865,-75020.82979330045,221096.6686435627,-37248.45590717923,3,True,475.84421875000004,471.4607291666666,660.5065626894637,579.6824122283404
300,307,2023-03-04,256052.85676480073,256341.23903493152,267521.69366960775,-11468.836904807013,214842.55914307438,41498.67989185715,3,True,464.34656249999995,452.39078125,690.114201876176,741.8630951426067
300,308,2023-03-05,211869.87922224338,226125.10142331844,251438.2462902622,-39568.367068018815,161569.25029088842,64555.851132430034,3,True,482.48625,519.6113541666667,637.8179627414801,565.5581871232162
300,309,2023-03-06,231812.5418766576,235659.62960130046,222045.66006362153,9766.881813036074,118702.13947922502,116957.49012207544,3,True,435.0133854166667,440.2033333333334,634.197891120376,704.1800421360733
300,310,2023-03-07,250180.44183523773,261986.55255395564,217310.59703110272,32869.84480413499,91026.20636047989,170960.34619347577,3,True,414.27015624999996,448.7127604166667,627.038975787789,726.1425537190216
300,311,2023-03-08,279779.764410344,263255.9543258215,204670.98264369785,75108.78176664618,86626.90160984414,176629.05271597736,3,True,390.5173958333333,369.28619791666665,648.9486020393033,869.0789332935384
300,312,2023-03-09,283723.64183698077,281630.2566755101,207060.87625578407,76662.7655811967,113627.18463357046,168003.0720419396,4,True,369.55458333333337,423.45239583333336,676.5605187490253,887.3612508322067
300,313,2023-03-10,281845.3528437735,294546.44230032223,295653.6141577813,-13808.261314007814,251213.70446522214,43332.73783510008,3,True,437.35401041666665,456.12046875000004,738.080418856584,730.0898323684775
300,314,2023-03-11,265186.5227955623,228053.81002229528,168926.76176182093,96259.76103374132,76477.77667502247,151576.0333472728,3,True,268.5193229166667,180.7444270833333,745.1018317568852,1287.5844598969893
300,315,2023-03-12,341967.79494151624,361201.3589906277,292720.5303776107,49247.26456390553,207043.62625125737,154157.73273937032,3,True,374.1253125,381.76098958333336,829.4671538464045,965.0003599586353
300,316,2023-03-13,330807.59804881096,325016.22838130564,297059.9271404435,33747.670908367436,101822.27854536223,223193.9498359434,3,True,384.9890625,384.6838541666666,860.8339533442156,975.8729879122985
300,317,2023-03-14,292660.6502008307,270644.3006817228,217850.2861816541,74810.3640191766,7550.0,263094.3006817228,3,True,236.19046875,243.51031249999997,954.0091179912927,1307.9499575419995
300,318,2023-03-15,285691.71182308556,307936.9333693742,374419.74630521773,-88728.03448213219,147114.1142758915,160822.81909348269,3,True,397.85515625,422.16640624999997,1008.2171702796309,863.0205881995274
300,319,2023-03-16,222743.00207675673,228896.79682533708,499046.6077776076,-276303.6057008509,328845.33983032417,-99948.54300498709,3,True,530.9402604166667,527.2274479166666,987.1735463002356,481.53745521745293
300,320,2023-03-17,340362.5935689689,314881.7671435635,274817.53171936737,65545.06184960152,47476.8125,267404.9546435635,3,True,322.76875,270.35208333333327,916.2894790391867,1177.1226039835426
300,321,2023-03-18,356745.8864617181,353159.6774240561,409646.0616331181,-52900.17517139994,161472.83382204876,191686.8436020073,3,True,427.0874479166667,417.10869791666664,981.6536923876445,865.7662797333354
300,322,2023-03-19,280045.52849813766,277623.28521543264,267744.82151126274,12300.706986874924,60475.66763265701,217147.61758277562,3,True,295.5101041666667,284.39458333333334,967.6468556061473,1083.5936881443536
300,323,2023-03-20,294118.14553348126,316399.8655929398,293232.08847761137,886.0570558699246,145582.27933538076,170817.58625755904,3,True,329.9401041666667,284.35734375,979.5693248659918,1038.0928106781412
