day,quarter,actual_regime,pred_regime,correct,rev_hard,rev_soft,rev_stoch,rev_perfect,rev_oracle
1830,Q3,3,3,True,238694.99214769984,233244.07263456,230337.05625524002,238694.99214769984,285668.7200530777
1831,Q3,3,3,True,36742.72453479984,38527.06640159997,39290.77516168,36742.72453479984,61731.909
1832,Q3,6,6,True,42172.19999999999,44429.19999999999,48865.97341469989,42172.19999999999,70117.84980174976
1833,Q3,10,6,False,77147.80000000002,79020.59999999999,-32984.39999999998,263068.80000000005,314897.5010342574
1834,Q3,5,0,False,167570.84958159985,217193.00741391996,183080.04583051006,223472.19999999998,259135.90921120002
1835,Q3,3,3,True,208238.46696596983,207464.05287264,209103.61912719996,208238.46696596983,236542.94072459996
1836,Q3,5,3,False,164508.04324284976,163633.75554687995,150044.84242239987,207485.80000000002,248190.93441054074
1837,Q3,3,3,True,207740.14141024993,207365.61998730007,209975.67518205012,207740.14141024993,246968.4367491058
1838,Q3,3,3,True,246805.17977334984,250272.9597664,254797.93300239998,246805.17977334984,284111.7782567624
1839,Q3,3,3,True,215018.56186557986,216218.464582,224871.34838800004,215018.56186557986,271201.05224588065
1840,Q3,11,3,False,43888.341757669856,44331.515488199955,39625.72463365982,45275.799999999996,95575.18835657214
1841,Q3,8,1,False,62973.597306400035,119441.20000000001,114939.172065,123454.36558178,212812.9990892
1842,Q3,4,6,False,117113.00000000001,141426.59999999992,45830.800000000025,214416.05608415982,298519.47504512774
1843,Q3,3,3,True,193701.00064311989,214323.6,198306.00000000003,193701.00064311989,260310.41857768298
1844,Q3,3,3,True,205189.02540868983,214824.10472907,212352.7733997599,205189.02540868983,252318.92445203714
1845,Q3,3,3,True,203804.78000018987,204472.85695663994,203325.66738705995,203804.78000018987,251238.83270031482
1846,Q3,3,3,True,223782.96232424985,233145.86762920005,217749.9082598799,223782.96232424985,263103.4236307827
1847,Q3,3,3,True,192364.34710991988,194928.63530431996,196380.25319976002,192364.34710991988,232498.8731854031
1848,Q3,6,3,False,27119.30916114984,23415.472786159968,46229.472786159895,55184.000000000044,104818.2243756401
1849,Q3,8,8,True,22242.38058975996,68634.80000000006,47972.08616237999,22242.38058975996,242220.38710846932
1850,Q3,4,7,False,260694.19999999995,262335.0,255531.0,267461.57400335994,317504.1655489999
1851,Q3,3,3,True,170915.61148693,185454.7424938,170209.78312920002,170915.61148693,250770.29999107303
1852,Q3,4,5,False,188468.59999999998,204401.39999999997,191667.99999999994,202890.2863979398,256115.1576426911
1853,Q3,3,3,True,172652.35964112988,182440.20000000004,198155.3082303099,172652.35964112988,235360.79223044423
1854,Q3,3,5,False,158167.59999999998,163533.99999999997,172834.7465480998,169920.64450752983,238512.42802672306
1855,Q3,8,3,False,142515.88746583994,133184.2202172,143776.89328715997,105867.55333612,252316.0662088902
1856,Q3,3,5,False,98697.0,95037.20000000001,104231.0,122018.33191821986,213417.83250892232
1857,Q3,1,6,False,182617.39999999994,117388.4,128279.02637360994,127146.98326515978,261576.92611751118
1858,Q3,3,3,True,212224.95495597983,206604.37883095987,198987.4,212224.95495597983,263013.78325060004
1859,Q3,5,3,False,137241.3488249898,186830.04131322986,184913.72938414977,192130.39999999994,221483.09666528314
1860,Q3,8,5,False,168339.8,167148.2,167500.32449032055,93601.16897889994,230411.95096313668
1861,Q3,6,5,False,85051.99999999999,96632.00000000003,93026.07051149993,125871.20000000001,167101.193297066
1862,Q3,5,3,False,111264.03237948984,123132.59999999999,123798.1074117698,167899.80000000005,200786.52462297882
1863,Q3,5,5,True,139316.0,135184.59999999998,135399.47600212978,139316.0,185024.93178126359
1864,Q3,11,5,False,33181.79999999996,32725.79999999999,34314.02292731986,35667.79999999994,64430.0118
1865,Q3,10,6,False,38026.39999999999,38141.999999999985,41224.39999999999,37990.600000000006,92249.23841756028
1866,Q3,1,6,False,85227.99999999994,3345.600000000005,-18003.816562440214,57455.37195695985,318683.5890071055
1867,Q3,6,6,True,46487.79999999998,44741.4,51555.399999999994,46487.79999999998,80641.26270062191
1868,Q3,10,6,False,44944.19999999999,40081.599999999984,66953.39999999998,104261.2,145556.01427886583
1869,Q3,5,3,False,58957.94507095985,117760.8,137321.65968399987,179174.0,257749.29176023236
1870,Q3,3,5,False,191639.8,178804.79999999996,184443.8,168310.1705308298,227248.9424388617
1871,Q3,8,4,False,51838.2957377199,45428.8,54701.688719039856,34585.45500905989,86005.7923157584
1872,Q3,5,5,True,174189.19999999992,162968.79999999993,173189.64822696985,174189.19999999992,202927.37668052118
1873,Q3,8,7,False,64251.2,68436.40000000002,75108.20000000003,56636.02033212,162201.51269305433
1874,Q3,6,7,False,92602.20000000003,94129.88233019986,93092.28760845993,163220.80000000002,209438.0618313679
1875,Q3,5,7,False,141220.39999999997,143754.99999999997,144225.79999999996,182032.59999999998,284672.5738629342
1876,Q3,3,5,False,139731.39999999997,118636.35977409988,131287.6,139919.5336559299,240009.70521420002
1877,Q3,6,4,False,8616.579965719917,5230.800000000023,2976.599999999994,105053.8,161443.61095849058
1878,Q3,11,6,False,26491.799999999992,30701.99999999998,30864.0,36209.59999999998,81729.56623493202
1879,Q3,5,5,True,172230.4,171552.59999999998,173144.48772863988,172230.4,202055.90641251038
1880,Q3,1,3,False,112499.60540590997,112993.38842806997,115606.40000000001,119003.79203907981,158894.27047504214
1881,Q3,3,3,True,163964.56000718992,165814.40000000005,153682.07352895994,163964.56000718992,207835.8766912
1882,Q3,5,8,False,75122.8812454499,134655.0703483999,145840.5580293999,155123.79999999996,213476.41307740027
1883,Q3,3,8,False,86641.84664273991,118241.0925466799,109655.50427751991,129862.98606868989,240131.32224058625
1884,Q3,5,4,False,182256.79549809985,180518.1841257998,182806.62961499978,196356.59999999995,275526.46958266734
